,charge,0
976,876.5,0.0
977,877.5,0.0
978,878.5,0.0
979,879.5,0.0
980,880.5,0.0
981,881.5,0.0
982,882.5,0.0
983,883.5,0.0
984,884.5,0.0
985,885.5,0.0
986,886.5,0.0
987,887.5,0.0
988,888.5,0.0
989,889.5,0.0
990,890.5,0.0
991,891.5,0.0
992,892.5,0.0
993,893.5,0.0
994,894.5,0.0
995,895.5,0.0
996,896.5,0.0
997,897.5,0.0
998,898.5,0.0
999,899.5,0.0
1000,900.5,0.0
1001,901.5,0.0
1002,902.5,0.0
1003,903.5,0.0
1004,904.5,0.0
1005,905.5,0.0
1006,906.5,0.0
1007,907.5,0.0
1008,908.5,0.0
1009,909.5,0.0
1010,910.5,0.0
1011,911.5,0.0
1012,912.5,0.0
1013,913.5,0.0
1014,914.5,0.0
1015,915.5,0.0
1016,916.5,0.0
1017,917.5,0.0
1018,918.5,0.0
1019,919.5,0.0
1020,920.5,0.0
1021,921.5,0.0
1022,922.5,0.0
1023,923.5,0.0
1024,924.5,0.0
1025,925.5,0.0
1026,926.5,0.0
1027,927.5,0.0
1028,928.5,0.0
1029,929.5,0.0
1030,930.5,0.0
1031,931.5,0.0
1032,932.5,0.0
1033,933.5,0.0
1034,934.5,0.0
1035,935.5,0.0
1036,936.5,0.0
1037,937.5,0.0
1038,938.5,0.0
1039,939.5,0.0
1040,940.5,0.0
1041,941.5,0.0
1042,942.5,0.0
1043,943.5,0.0
1044,944.5,0.0
1045,945.5,0.0
1046,946.5,0.0
1047,947.5,0.0
1048,948.5,0.0
1049,949.5,0.0
1050,950.5,0.0
1051,951.5,0.0
1052,952.5,0.0
1053,953.5,0.0
1054,954.5,0.0
1055,955.5,0.0
1056,956.5,0.0
1057,957.5,0.0
1058,958.5,0.0
1059,959.5,0.0
1060,960.5,0.0
1061,961.5,0.0
1062,962.5,0.0
1063,963.5,0.0
1064,964.5,0.0
1065,965.5,0.0
1066,966.5,0.0
1067,967.5,0.0
1068,968.5,0.0
1069,969.5,0.0
1070,970.5,0.0
1071,971.5,0.0
1072,972.5,0.0
1073,973.5,0.0
1074,974.5,0.0
1075,975.5,0.0
1076,976.5,0.0
1077,977.5,0.0
1078,978.5,0.0
1079,979.5,0.0
1080,980.5,0.0
1081,981.5,0.0
1082,982.5,0.0
1083,983.5,0.0
1084,984.5,0.0
1085,985.5,0.0
1086,986.5,0.0
1087,987.5,0.0
1088,988.5,0.0
1089,989.5,0.0
1090,990.5,0.0
1091,991.5,0.0
1092,992.5,0.0
1093,993.5,0.0
1094,994.5,0.0
1095,995.5,0.0
1096,996.5,0.0
1097,997.5,0.0
1098,998.5,0.0
